,0
0,"Pocatello, Idaho "
1,
2,"Brisbane, Qld, Australia"
3,"Charleston, SC"
4,
5,United States
6,Tokyo
7,"New York, USA"
8,she/her
9,no customs rn!
10,New Jersey
11,Somewhere
12,United States
13,"Racine, WI"
14,"Sacramento, CA"
15,Colorado🌞
16,She/her
17,
18,
19,"Maine, USA"
20,
21,N Warren
22,福岡県 久留米市
23,
24,
25,
26,"Prescott, AZ"
27,United States
28,Canada
29,Palm Desert
30,Los Angeles area
31,MEXIKO. 
32,Cleveland Ohio 
33,"Colorado, USA"
34,
35,Cheshire
36,横浜
37,"Sydney, Australia"
38,"Albany, N.Y."
39,"Daly City, CA"
40,"Jersey City, New Jersey"
41,
42,KS by way of AZ
43,"Riverside, CA"
44,
45,United States
46,"Toronto, Ontario"
47,at home...
48,Moscow
49,
50,"Berlin, Deutschland"
51,
52,"San Mateo, CA"
53,"Eagle Rock, Northeast L.A., CA"
54,Kamala State 🌞🌴🌊
55,United Kingdom
56,@ Home #NOLA
57,"Riverside, CA"
58,"Florida, USA"
59,"Brooklyn, NY"
60,"Merrick, New York"
61,"Tucson, Arizona"
62,United States
63,New York
64,
65,"East Valley, AZ"
66,
67,"Longview, TX"
68,"Austin, TX"
69,"Reading, UK"
70,"California, USA"
71,"Glen Ellyn, IL"
72,Suomi
73,UK
74,United Kingdom
75,"Newport, England"
76,Denver
77,"Alton, IL"
78,日本 神奈川県
79,
80,"Ventura County, CA"
81,Nigeria
82,"Strongsville, OH"
83,"London, England"
84,"Gibsons, British Columbia"
85,Kathmandu
86,"Newberg, OR"
87,
88,Provence-Alpes-Côte d'Azur
89,Nepal
90,"Boston, MA"
91,"Dallas, TX"
92,New England
93,UK
94,Seattle
95,Earth !
96,Việt Nam
97,"Texas, USA"
98,"Milano, Lombardia"
99,Republic of Slovenia
100,Bi - #Jujubean - +21 - FAKE
101,United States
102,"Annandale, VA"
103,"Livonia, MI"
104,United States
105,"North West, England"
106,Slovenia
107,"NY, USA"
108,"Illinois, Wisconsin & Georgia"
109,"Illinois, Wisconsin & Georgia"
110,London / Staffordshire
111,Kenya
112,Kenya
113,𝐛𝐞𝐲𝐨𝐧𝐝 𝐭𝐡𝐞 𝐬𝐞𝐚𝐬
114,"London, England"
115,Norwich
116,"Fochabers, Scotland"
117,"Scotland, United Kingdom"
118,From 🇸🇬→Tweeting in 🇹🇭
119,
120,"Sydney, Australia"
121,
122,"Quezon City, National Capital "
123,Australia
124,Michigan
125,Pennsylvania
126,"North East, England"
127,
128,"Calgary, ALBERTA "
129,
130,"Dorset, UK"
131,"Castleford,Yorkshire, UK"
132,Suffolk UK
133,"Šiauliai, Lietuva"
134,"Gold Coast, Queensland"
135,"Sunderland, Tyne and Wear, UK"
136,"Kathmandu, Nepal"
137,"Galway, Ireland"
138,"Reno, Nevada"
139,Next to Lava
140,"Velbert, Deutschland"
141,Austral
142,
143,"Atlanta, GA"
144,
145,
146,
147,Maine
148,
149,Gulf area of southern U. S.
150,some documentation doc
151,"West Palm Beach, Florida"
152,
153,"Tongva,Cahuilla,Serrano Lands"
154,
155,"Riverside, CA"
156,"Berlin, Deutschland"
157,"California, USA"
158,
159,
160,
161,"Seattle, WA"
162,
163,
164,he/him
165,Avocado Capital of the World
166,
167,🌍
168,"San Francisco, CA"
169,
170,Homestead Florida
171,
172,"Pinellas Park, FL"
173,España
174,"Wisconsin, USA"
175,
176,"Rethymno,Greece"
177,
178,"Manchester, England"
179,
180,
181,off the main roads
182,"Huntington,WV."
183,"Montezuma, IA"
184,"Toronto, ON & B.C"
185,"San Jose, CA"
186,"Fochabers, Scotland"
187,Toronto and Vancouver
188,East Africa
189,"Columbus, OH"
190,Italy
191,Northamptonshire
192,Canadian kitchens
193,
194,"Leyden, Mass."
195,"Fochabers, Scotland"
196,"Homestead, FL"
197,Rwanda
198,"Mumbai, India"
199,
200,USA
201,
202,"Saint Petersburg, Russia"
203,Namibia
204,Florida
205,
206,
207,"London, England"
208,
209,
210,"Houston, TX"
211,"Nashville, TN"
212,"North Carolina, USA"
213,"Kigali,Rwanda"
214,Michigan
215,𝙼𝚒𝚛𝚔𝚠𝚘𝚘𝚍
216,dans ta tête tqt
217,Brooklyn
